Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
DEFINITION OF ABBREVIATIONS AND INDUSTRY TERMS

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
 | System Peak Demand (in MW)
 | 2014 | 2015 | | 2016 | 2017 Forecast
NSP System | 8,848 | | 8,621 | | 9,002 | 9,179

9

The peak demand for the NSP System typically occurs in the summer. The 2016 system peak demand for the NSP System occurred on July 20, 2016. The 2016 system peak demand increased from the previous year due to customer growth and warmer summer weather. The 2017 forecast assumes normal peak day weather, which would be warmer than 2016. 
Energy Sources and Related Transmission Initiatives
NSP-Minnesota expects to use existing power plants, power purchases, CIP options, new generation facilities and expansion of existing power plants to meet its system capacity requirements.
Purchased Power — NSP-Minnesota has contracts to purchase power from other utilities and independent power producers. Generally, long-term dispatchable purchased power contracts require a periodic capacity payment and a charge for the delivered associated energy. Some long-term purchased power contracts only contain a charge for the purchased energy. NSP-Minnesota also makes short-term purchases to meet system load and energy requirements, to replace generation from company-owned units under maintenance or during outages, to meet operating reserve obligations, or to obtain energy at a lower cost.
Purchased Transmission Services — NSP-Minnesota and NSP-Wisconsin have contracts with MISO and other regional transmission service providers to deliver power and energy to their customers.
Courtenay Wind Farm — In November 2016, NSP-Minnesota placed into service the Courtenay wind farm, a 200 MW NSP-Minnesota owned project in North Dakota. In July and August 2015, the MPUC and NDPSC, respectively, approved the Courtenay wind farm with recovery up to $300 million of capital costs. Total project costs were approximately $286 million, which were included in the Minnesota RES rider and the North Dakota RER.
NSP System Resource Plans — In January 2017, the MPUC approved NSP-Minnesota’s Integrated Resource Plan that includes:

• | Retirement of Sherco Unit 2 in 2023 and Sherco Unit 1 in 2026. The resulting need for 750 MW of capacity in 2026 will be addressed in a future CON proceeding; 


• | Acquisition of at least 1,000 MW of wind by 2019 and possibly as much as 1,500 MW dependent on price, bidder qualifications, rate impact, transmission availability and location. The mix of purchased power and owned facilities was not specified; 


• | Acquisition of 650 MW of solar by 2021 either through the community solar gardens program or other cost-effective resources. The mix of purchased power and owned facilities was not specified; 


• | Acquisition of at least 400 MW of additional demand response by 2023, and a study of the technical and economic achievability of 1,000 MW of additional demand response in total by 2025; and


• | Achievement of at least 444 GWh of energy efficiency in all planning years.

In 2016, Minnesota legislators introduced a bill which would allow NSP-Minnesota to build a natural gas combined-cycle power plant at NSP-Minnesota’s Sherco site. The bill passed the House and Senate in February 2017 but will require approval from the Governor to become effective. A final resolution is expected later in 2017 and cost recovery would be subject to MPUC approval.
Request for Proposal (RFP) — In September 2016, NSP-Minnesota issued a RFP for 1,500 MW of wind generation. The RFP requests both PPAs and build-own-transfer proposals. 
In October 2016, NSP-Minnesota submitted a petition for approval to the MPUC of a 750 MW self-build wind farm portfolio. RFP bids were received in October 2016 and have been evaluated in conjunction with the self-build proposal. 
In January 2017, NSP-Minnesota completed the bid evaluation process. NSP-Minnesota evaluated the bid proposals based on a completeness review, a levelized cost of electricity economic evaluation and a non-price qualitative review. NSP-Minnesota believes its self-build wind projects were competitive and should complement the RFP portfolio.
An overview of the anticipated RFP schedule is as follows:

• | Project proposal selection and negotiation during the first quarter of 2017;


• | NSP-Minnesota’s recommendation for proposed wind additions to the MPUC later in the first quarter of 2017; and


• | MPUC approval is expected by July 2017.

10

Jurisdictional Cost Recovery Allocation — In December 2016, NSP-Minnesota filed a resource treatment framework with the NDPSC and MPUC. The filing proposed a framework to allow North Dakota and Minnesota to gradually become more independent of one another with respect to future generation resource selection while also identifying a path for cost sharing of current resources.   NSP-Minnesota’s filing identified two options: a legal separation, creating a separate North Dakota operating company; or a pseudo separation, which maintains the current corporate structure but directly assigns the costs and benefits of each resource to the jurisdiction that supports it. The annual costs for a legal separation and pseudo separation are estimated to be approximately $3 million and $1 million, respectively. A one-time cost of approximately $10 million would also be incurred to establish a North Dakota operating company under legal separation. Costs are not expected to be incurred until 2020 and are anticipated to be recoverable through rates. The filing proposed a procedural schedule that considers an order in mid-2018. 
CapX2020 — The estimated cost of the five major CapX2020 transmission projects listed below is $2 billion.  NSP-Minnesota and NSP-Wisconsin are responsible for approximately $1.06 billion of the total investment and the majority of this investment has occurred. The projects are as follows:

• | Hampton, Minn. to Rochester, Minn. to La Crosse, Wis. 161/345 KV transmission lines — The final 161 KV and 345 KV segments of the project went into service in January 2016 and September 2016, respectively;


• | Brookings County, S.D. to Hampton, Minn. 345 KV transmission line — The project was placed in service in March 2015;


• | Bemidji, Minn. to Grand Rapids, Minn. 230 KV transmission line — The project was placed in service in September 2012;


• | Monticello, Minn. to Fargo, N.D. 345 KV transmission line — The final portion of the project was placed in service in April 2015; and


• | Big Stone South to Brookings County, S.D. 345 KV transmission line — Construction of the line began in September 2015, with completion anticipated in September 2017.

Nuclear Power Operations and Waste Disposal
NSP-Minnesota owns two nuclear generating plants: the Monticello plant and the PI plant. Nuclear power plant operations produce gaseous, liquid and solid radioactive wastes which are controlled by federal regulation. High-level radioactive wastes primarily include used nuclear fuel. LLW consists primarily of demineralizer resins, paper, protective clothing, rags, tools and equipment that have become contaminated through use in a plant.
NRC Regulation — The NRC regulates the nuclear operations of NSP-Minnesota. Decisions by the NRC can significantly impact the operations of the nuclear generating plants. The costs of complying with NRC orders and requirements can affect both operating expenses and capital investments of the plants. NSP-Minnesota has obtained recovery of these compliance costs in customer rates, and expects the costs associated with compliance will continue to be recoverable from customers. Estimates of the future nuclear capital expenditures related to costs of NRC compliance are included in Xcel Energy’s capital forecast for electric generation. See Item 7 for further discussion of capital requirements.
Nuclear Regulatory Performance — The NRC has a Reactor Oversight Process that classifies U.S. nuclear reactors into various categories (referred to as Columns, from 1 to 5).  Issues are evaluated as either green, white, yellow, or red based on their safety significance, with green representing the least safety concern and red representing the most concern.  
At Dec. 31, 2016, PI Units 1 and 2 were in Column 1 (licensee response) with all green performance indicators and no greater than green findings or violations. Plants in Column 1 are subject to only a pre-defined set of basic NRC inspections.
In the fourth quarter of 2016, Monticello moved from Column 1 to Column 2 (regulatory response) due to a white performance indicator related to an oil leak in a backup cooling system in 2016. Plants in Column 2 are subject to special NRC inspections to review and validate that performance issues or inspection findings have been properly addressed. Monticello has addressed the issues leading to the finding and will be eligible to return to Column 1 once the NRC completes an inspection to close the issue. NSP-Minnesota currently expects the inspection to occur, and Monticello to return to Column 1 in mid-2017.
11

Monticello Spent Fuel Storage - Dry Shielded Canisters — In 2013, NSP-Minnesota’s Monticello nuclear generating plant conducted a spent fuel loading campaign which resulted in five storage canisters being loaded and placed in the ISFSI and a sixth one being loaded but remaining in the plant pending resolution of weld inspection issues. Successful pressure and leak testing demonstrated the safety and integrity of all six canisters involved. The NRC conducted an investigation and determined that two contractor technicians at Monticello deliberately violated NRC requirements and failed to follow procedure in performing Non-Destructive Examinations (NDE) on the six spent fuel storage canisters (Dry Shielded Canisters #11-16) in accordance with procedural requirements and falsified records when recording the NDE results. NSP-Minnesota took several actions to assure that compliance with the NRC’s regulations and Monticello’s storage license can be demonstrated. 
In December 2016, the NRC issued a confirmatory order formally approving a settlement in which NSP-Minnesota agreed to a timeline for attaining compliance on all six canisters as well as additional training and communications. As a result, the NRC will not issue a notice of violation or impose a civil penalty to NSP-Minnesota and will consider the terms of its order as an escalated enforcement action for a period of one year. During 2016, the NRC approved an exemption request for the completion of the final canister #16. That canister is now considered in compliance, and was placed in the ISFSI during 2016.
Costs attributable to Monticello canisters #11-15 achieving full regulatory compliance within five years, as agreed to in the settlement, are currently being evaluated. No public safety issues have been raised, or are believed to exist, related to handling of spent nuclear fuel at Monticello in regard to this matter. 
LLW Disposal — LLW from NSP-Minnesota’s Monticello and PI nuclear plants is currently disposed at the Clive facility located in Utah and Waste Control Specialists facility located in Texas. If off-site LLW disposal facilities become unavailable, NSP-Minnesota has storage capacity available on-site at PI and Monticello that would allow both plants to continue to operate until the end of their current licensed lives.
High-Level Radioactive Waste Disposal — The federal government has the responsibility to permanently dispose of domestic spent nuclear fuel and other high-level radioactive wastes. The Nuclear Waste Policy Act requires the DOE to implement a program for nuclear high-level waste management. This includes the siting, licensing, construction and operation of a repository for spent nuclear fuel from civilian nuclear power reactors and other high-level radioactive wastes at a permanent federal storage or disposal facility. The federal government has been evaluating a nuclear geologic repository at Yucca Mountain, Nevada for many years. At this time, there are no definitive plans for a permanent federal storage site at Yucca Mountain or any other site.
Nuclear Spent Fuel Storage
NSP-Minnesota has interim on-site storage for spent nuclear fuel at its Monticello and PI nuclear generating plants. As of Dec. 31, 2016, there were 40 casks loaded and stored at the PI plant and 16 canisters loaded and stored at the Monticello plant. An additional 24 casks for PI and 14 canisters for Monticello have been authorized by the State of Minnesota. This currently authorized storage capacity is sufficient to allow NSP-Minnesota to operate until the end of the operating licenses in 2030 for Monticello, 2033 for PI Unit 1, and 2034 for PI Unit 2. Authorizations for additional spent fuel storage capacity may be required at each site to support either continued operation or decommissioning if the federal government does not begin operation of a consolidated interim storage installation.
NRC Waste Confidence Decision (WCD) — In 2014, the NRC published a Generic Environmental Impact Statement and revised WCD rule, now called the Continued Storage Rule (CSR) on the temporary on-site storage of spent nuclear fuel. The CSR assesses how long temporary on-site storage can remain safe and when facilities for the disposal of nuclear waste will become available. Issuance of the CSR now allows the NRC to proceed with final license decisions regarding the new and renewed plant and ISFSI operating licenses without the need to litigate contentions related to the continued storage of spent nuclear fuel on-site. This may facilitate potential future spent fuel licensing needs for NSP-Minnesota. The CSR was challenged before the U.S. Court of Appeals for the D.C. Circuit on the grounds that the environmental impact statement is inadequate to satisfy the National Environmental Policy Act. In June 2016, the D.C. Circuit’s decision upheld the CSR.
See Note 14 to the consolidated financial statements for further discussion regarding nuclear related items.
12

Energy Source Statistics

 | Year Ended Dec. 31
 | 2016 | 2015 | | 2014 
NSP System | Millions ofKWh | Percent ofGeneration | | Millions ofKWh | Percent ofGeneration | Millions ofKWh | | Percent ofGeneration
Nuclear | 14,191 | | 30 | % | 12,425 | | 27 | % | 13,434 | 29 | %
Coal | 13,681 | | 28 | | 15,961 | | 35 | | 18,079 | 39 | 
Wind (a) | 7,897 | | 16 | | 6,235 | | 14 | | 6,243 | 14 | 
Natural Gas | 7,810 | | 16 | | 6,689 | | 15 | | 3,402 | 7 | 
Hydroelectric | 3,203 | | 7 | | 3,326 | | 7 | | 3,560 | 8 | 
Other (b) | 1,480 | | 3 | | 1,083 | | 2 | | 1,417 | 3 | 
Total | 48,262 | | 100 | % | 45,719 | | 100 | % | 46,135 | 100 | %
Owned generation | 36,381 | | 75 | % | 33,818 | | 74 | % | 33,641 | 73 | %
Purchased generation | 11,881 | | 25 | | 11,901 | | 26 | | 12,494 | 27 | 
Total | 48,262 | | 100 | % | 45,719 | | 100 | % | 46,135 | 100 | %


(a) | This category includes wind energy de-bundled from RECs and also includes Windsource® RECs. The NSP System uses RECs to meet or exceed state resource requirements and may sell surplus RECs. 


(b) | Includes energy from other sources, including solar, biomass, oil and refuse. Distributed generation from the Solar*Rewards® program is not included, and was approximately 21, eight and seven million net KWh for 2016, 2015, and 2014, respectively.

Fuel Supply and Costs
The following table shows the delivered cost per MMBtu of each significant category of fuel consumed for owned electric generation, the percentage of total fuel requirements represented by each category of fuel and the total weighted average cost of all fuels.
 | Coal (a) | | Nuclear | | Natural Gas | | WeightedAverage Owned Fuel Cost
NSP System Generating Plants | Cost | | Percent | | Cost | | Percent | | Cost | | Percent | 
2016 | $ | 2.03 | | | 42 | % | | $ | 0.80 | | | 44 | % | $ | 3.30 | 14 | % | $ | 1.67
2015 | 2.15 | | | 47 | | | 0.83 | | | 40 | | | 3.89 | | 13 | 1.85 | 
2014 | 2.23 | | | 52 | | | 0.89 | | | 42 | | | 6.27 | | 6 | 1.94 | 


(a) | Includes refuse-derived fuel and wood.

The cost of natural gas in 2016 decreased due to lower wholesale commodity prices.
See Items 1A and 7 for further discussion of fuel supply and costs.
Fuel Sources
Nuclear — NSP-Minnesota secures contracts for uranium concentrates, uranium conversion, uranium enrichment and fuel fabrication to operate its’ nuclear plants. The contract strategy involves a portfolio of spot purchases and medium and long-term contracts for uranium concentrates, conversion services and enrichment services with multiple producers and with a focus on diversification to minimize potential impacts caused by supply interruptions due to geographical and world political issues.

• | Current nuclear fuel supply contracts cover 100 percent of uranium concentrates requirements through 2019 and approximately 53 percent of the requirements for 2020 through 2030;


• | Current contracts for conversion services cover 100 percent of the requirements through 2021 and approximately 49 percent of the requirements for 2022 through 2030; and


• | Current enrichment service contracts cover 100 percent of the requirements through 2025 and approximately 28 percent of the requirements for 2026 through 2030.

Fabrication services for Monticello and PI are 100 percent committed through 2030 and 2019, respectively. 
13

